uri,label,pageRank,influenced_out,influenced_in,influenced_total,almaMater_out,knownFor_out,notableWork_out,religion_out,ideology_out,field_in,almaMater_in,religion_in,ideology_in,fields,likely_religion_or_belief,likely_institution,likely_field_or_discipline,dbpedia_is_person
<http://dbpedia.org/resource/Walter_Benjamin>,Walter Benjamin,1.1733248605662414,27,23,50,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Shirley_R._Steinberg>,Shirley R. Steinberg,1.1657989831876152,0,8,8,1,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Carl_Jung>,Carl Jung,1.1506647521672928,34,23,57,2,9,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Rainer_Forst>,Rainer Forst,1.1495360849373488,0,14,14,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/İhsan_Eliaçık>,İhsan Eliaçık,1.147409976731362,0,5,5,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Guillaume_Faye>,Guillaume Faye,1.146683617669495,0,20,20,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Michel_Onfray>,Michel Onfray,1.1410505453624047,0,16,16,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Erving_Goffman>,Erving Goffman,1.140892325136804,5,13,18,0,6,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Aristotle>,Aristotle,1.1263290019430177,193,12,205,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Thomas_Kuhn>,Thomas Kuhn,1.1212458538054189,17,15,32,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Burton_C._Gray>,Burton C. Gray,1.11280415319626,0,3,3,2,0,0,0,0,0,0,0,0,"[Economics, Political philosophy, Business]",False,False,False,True
<http://dbpedia.org/resource/Hugh_of_Saint_Victor>,Hugh of Saint Victor,1.1119155157896712,5,12,17,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Nick_Srnicek>,Nick Srnicek,1.1071015069085788,0,2,2,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Martin_Luther_King_Jr.>,Martin Luther King Jr.,1.1070915542234985,3,2,5,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Laurie_Bauer>,Laurie Bauer,1.1062500000000002,0,0,0,0,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/William_James>,William James,1.1035638937776884,53,24,77,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Sandrine_Bergès>,Sandrine Bergès,1.102728974858929,0,9,9,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Roger_Bacon>,Roger Bacon,1.1017248097969503,7,12,19,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Julius_Evola>,Julius Evola,1.0985297850264155,7,17,24,0,0,0,0,0,0,0,0,0,[],False,False,False,True
