uri,label,pageRank,influenced_out,influenced_in,influenced_total,almaMater_out,knownFor_out,notableWork_out,religion_out,ideology_out,field_in,almaMater_in,religion_in,ideology_in,fields,likely_religion_or_belief,likely_institution,likely_field_or_discipline
<http://dbpedia.org/resource/Harry_Buhrman>,Harry Buhrman,0.3360817508654624,0,2,2,1,4,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Marshall_Sahlins>,Marshall Sahlins,0.33603058967118377,2,3,5,2,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Alan_Feduccia>,Alan Feduccia,0.33588682877735293,0,2,2,1,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Fantom_(programming_language)>,Fantom (programming language),0.33588476690336877,0,6,6,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Baron_d'Holbach>,Baron d'Holbach,0.3357770418978147,22,4,26,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Fernando_Codá_Marques>,Fernando Codá Marques,0.3356220395448451,0,4,4,3,6,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Nathan_Salmon>,Nathan Salmon,0.3354914209412476,0,5,5,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Gustaf_Kossinna>,Gustaf Kossinna,0.3354722078383534,3,2,5,0,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Dirk_Polder>,Dirk Polder,0.3353284093331936,0,0,0,1,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Stephen_Schiffer>,Stephen Schiffer,0.33507136486210604,0,2,2,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Gonzalo_Vial_Correa>,Gonzalo Vial Correa,0.3350617944781901,0,2,2,1,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Edmund_W._Gordon>,Edmund W. Gordon,0.3350496742672149,0,2,2,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Karl_H._Pribram__Karl_H._Pribram__1>,Karl H. Pribram  Karl H. Pribram  1,0.3348805314297629,0,3,3,2,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Alan_Walker_(anthropologist)>,Alan Walker (anthropologist),0.33487500000000003,0,3,3,2,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Emily_Arnesen>,Emily Arnesen,0.33487500000000003,0,2,2,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Kamrun_Nahar>,Kamrun Nahar,0.33487500000000003,0,0,0,3,3,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Graham_Priest>,Graham Priest,0.33483816924804977,0,3,3,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Bengt_Strömgren>,Bengt Strömgren,0.3348183501831086,0,3,3,1,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Thomas_Ligotti>,Thomas Ligotti,0.3347801017823603,0,2,2,1,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Richard_Strohman>,Richard Strohman,0.33463770833333334,0,0,0,1,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Florence_Owens_Thompson>,Florence Owens Thompson,0.33462529835835175,0,0,0,0,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/NewtonScript>,NewtonScript,0.3345426295402452,1,3,4,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Heresy_of_the_Free_Spirit>,Heresy of the Free Spirit,0.3345083085735002,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Boris_Groys>,Boris Groys,0.3341070746909877,0,10,10,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Keiji_Nishitani>,Keiji Nishitani,0.33398259443256056,1,6,7,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Curry_(programming_language)>,Curry (programming language),0.3339560123211875,0,3,3,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Kevin_Carson>,Kevin Carson,0.3339559906439221,0,3,3,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/M._M._Sharif>,M. M. Sharif,0.333704494767119,0,4,4,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Georges_Dumézil>,Georges Dumézil,0.3335725627351708,4,2,6,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Leonardo_Polo>,Leonardo Polo,0.33351521611999824,0,8,8,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Gila_Sher>,Gila Sher,0.33344622552087594,2,3,5,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Salah_Jadid>,Salah Jadid,0.33342856002591237,0,2,2,0,0,0,0,0,0,0,0,1,[],false,false,false
<http://dbpedia.org/resource/Alice_von_Hildebrand>,Alice von Hildebrand,0.3334008184215591,1,1,2,2,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Balduin_Schwarz>,Balduin Schwarz,0.3334008184215591,1,1,2,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Aleksandr_Dianin>,Aleksandr Dianin,0.3333937954118047,1,2,3,2,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Akeel_Bilgrami>,Akeel Bilgrami,0.333180820608151,1,4,5,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Gilbert_Simondon>,Gilbert Simondon,0.33316162650169884,6,7,13,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Stephen_Wolfram>,Stephen Wolfram,0.33314541580806356,0,1,1,2,4,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Vladimir_Prelog>,Vladimir Prelog,0.3330782172782755,0,3,3,1,6,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Gustav_Teichmüller>,Gustav Teichmüller,0.3329720886965852,3,4,7,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Eric_X._Li>,Eric X. Li,0.33296250000000005,0,1,1,3,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Gregory_J._Moore>,Gregory J. Moore,0.33296250000000005,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Communication_theory>,Communication theory,0.33291438052752814,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Jan_Hus__Jan_Hus__1>,Jan Hus  Jan Hus  1,0.33270383438814494,7,2,9,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Harold_Garfinkel>,Harold Garfinkel,0.33266838229642626,5,3,8,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Lynette_Spillman>,Lynette Spillman,0.33258703806420725,0,0,0,2,3,0,0,0,0,0,0,0,[],false,false,false
